,ID1_G,ID2_G,ID_T_G,ID_R_G,DATE_G,RESULT_G
0,19942,32203,13204,5,2016-05-25 00:00:00,1
1,14609,20648,12992,5,2016-06-01 00:00:00,1
2,13576,1718,12993,4,2016-06-01 00:00:00,1
3,2904,9842,12993,4,2016-06-01 00:00:00,1
4,4003,1181,12993,4,2016-06-01 00:00:00,1
5,24127,33310,13226,4,2016-06-01 00:00:00,1
6,18282,13683,13226,4,2016-06-01 00:00:00,2
7,12195,9887,13228,5,2016-06-01 00:00:00,1
8,26890,22906,13228,5,2016-06-01 00:00:00,2
9,14465,24009,13228,5,2016-06-01 00:00:00,1
10,13398,20285,13228,5,2016-06-01 00:00:00,1
11,1092,6691,12814,9,2016-06-01 00:00:00,1
12,1075,674,12814,9,2016-06-01 00:00:00,1
13,9043,10202,12991,5,2016-06-01 00:00:00,1
14,18017,728,12991,5,2016-06-01 00:00:00,2
15,10828,14814,12992,5,2016-06-01 00:00:00,1
16,616,6962,12992,5,2016-06-01 00:00:00,2
17,3996,31392,12992,5,2016-06-01 00:00:00,1
18,41921,28053,12993,4,2016-06-01 00:00:00,2
19,875,6080,12993,4,2016-06-01 00:00:00,1
20,7732,32032,13224,4,2016-06-01 00:00:00,1
21,30518,22150,13224,4,2016-06-01 00:00:00,2
22,18720,24288,13224,4,2016-06-01 00:00:00,1
23,22949,29367,13225,4,2016-06-01 00:00:00,1
24,745,7462,12993,4,2016-06-01 00:00:00,1
25,18398,17735,13232,4,2016-06-01 00:00:00,1
26,4146,26218,12991,5,2016-06-01 00:00:00,1
27,13957,6002,12992,5,2016-06-02 00:00:00,1
28,1936,10415,12992,5,2016-06-02 00:00:00,1
29,13429,26221,12993,5,2016-06-02 00:00:00,1
30,762,11517,12993,5,2016-06-02 00:00:00,1
31,7772,2904,12993,5,2016-06-02 00:00:00,2
32,4003,875,12993,5,2016-06-02 00:00:00,1
33,891,23160,13225,5,2016-06-02 00:00:00,1
34,22949,13804,13225,5,2016-06-02 00:00:00,1
35,28346,29667,13225,5,2016-06-02 00:00:00,1
36,14861,30931,13227,5,2016-06-02 00:00:00,1
37,23240,28813,13227,5,2016-06-02 00:00:00,1
38,19871,34693,13227,5,2016-06-02 00:00:00,1
39,25861,29047,13227,5,2016-06-02 00:00:00,1
40,14479,44545,13232,5,2016-06-02 00:00:00,1
41,9941,25934,13232,5,2016-06-02 00:00:00,1
42,17358,29967,13232,5,2016-06-02 00:00:00,1
43,5992,831,12814,9,2016-06-02 00:00:00,1
44,20650,11226,12814,9,2016-06-02 00:00:00,2
45,30470,30978,12815,6,2016-06-02 00:00:00,1
46,41964,36767,12815,6,2016-06-02 00:00:00,2
47,7757,22439,12991,9,2016-06-02 00:00:00,1
48,50925,9878,12991,10,2016-06-02 00:00:00,2
49,14177,7345,12992,5,2016-06-02 00:00:00,2
50,13048,1747,12992,5,2016-06-02 00:00:00,1
51,9488,19962,12993,5,2016-06-02 00:00:00,1
52,9584,12896,12993,5,2016-06-02 00:00:00,1
53,23235,34493,12993,9,2016-06-02 00:00:00,1
54,6575,23204,13226,5,2016-06-02 00:00:00,1
55,14884,18282,13226,5,2016-06-02 00:00:00,1
56,34103,43950,13226,5,2016-06-02 00:00:00,1
57,22437,13607,13231,5,2016-06-02 00:00:00,1
58,4453,18579,13231,5,2016-06-02 00:00:00,1
59,11358,31458,13231,5,2016-06-02 00:00:00,1
60,24840,36114,13231,5,2016-06-02 00:00:00,1
61,8440,17356,13231,5,2016-06-02 00:00:00,1
62,10203,30626,13231,5,2016-06-02 00:00:00,1
63,35036,36263,12815,6,2016-06-02 00:00:00,2
64,9043,18017,12991,9,2016-06-02 00:00:00,1
65,1266,7889,12993,5,2016-06-02 00:00:00,1
66,13576,745,12993,5,2016-06-02 00:00:00,2
